City,Country,Latitude,Longitude,Population
aknashen,am,40.0958333,44.2861111,1362
alaverdi,am,41.1305556,44.6519444,13186
amasia,am,40.9466667,43.7813889,1675
amberd,am,40.2416667,44.2727778,1267
anushavan,am,40.6419444,43.9822222,1532
apaga,am,40.0961111,44.2511111,1634
aparan,am,40.5961111,44.3536111,5670
aragats,am,40.3330556,43.6580556,2952
aragats,am,40.2183333,44.2327778,5092
aragyukh,am,40.4025,44.5436111,999
aramus,am,40.2511111,44.6630556,3214
arapi,am,40.7797222,43.8005556,1738
ararat,am,39.8094444,44.7144444,6554
arazap,am,40.0427778,44.1458333,1373
archis,am,41.1641667,44.8725,1235
areni,am,39.7208333,45.1838889,1718
arevabuyr,am,40.0361111,44.4688889,1041
arevashat,am,40.1416667,44.3708333,1403
arevashogh,am,40.8613889,44.2727778,2435
arevik,am,40.1005556,44.0969444,2455
arevik,am,40.7361111,43.8927778,1522
arevshat,am,40.0391667,44.5416667,2089
arevshat,am,40.6486111,44.0444444,1623
argavand,am,40.1580556,44.44,1703
argavand,am,40.0608333,44.0952778,2047
argel,am,40.3794444,44.5994444,2528
armash,am,39.7666667,44.8083333,2434
armavir,am,40.0897222,44.0483333,2752
arshaluys,am,40.1688889,44.2141667,3808
artashat,am,39.9538889,44.5505556,20562
arteni,am,40.2983333,43.7541667,3086
artimet,am,40.1513889,44.2663889,1501
artsvaberd,am,40.8336111,45.4711111,3193
artsvanist,am,40.1544444,45.5022222,2819
arzakan,am,40.4494444,44.6063889,2660
arzni,am,40.2963889,44.5958333,2244
ashnak,am,40.3275,43.9166667,1131
ashtarak,am,40.3016667,44.3591667,18779
astghadzor,am,40.1238889,45.3566667,3520
avshar,am,39.8405556,44.6836111,4215
aygavan,am,39.8647222,44.6702778,3758
aygedzor,am,39.4627778,46.4152778,2535
aygehovit,am,40.9744444,45.2519444,2888
aygek,am,40.1886111,44.3833333,1095
aygepat,am,39.95,44.6,1349
aygeshat,am,40.2355556,44.2866667,1358
aygeshat,am,40.0666667,44.0666667,1606
aygestan,am,40.0030556,44.5575,2431
aygezard,am,39.9458333,44.6088889,3192
aygut,am,40.6841667,45.1730556,997
ayrum,am,41.195,44.8925,2174
ayrum,am,41.1716667,44.8191667,2174
azatamut,am,40.9758333,45.1980556,1850
azatan,am,40.7238889,43.8205556,4448
azatavan,am,39.9833333,44.5,2886
azatavan,am,40.1333333,44.0666667,2886
baghramyan,am,40.1908333,43.8494444,1690
bagratashen,am,41.2458333,44.8211111,3024
balahovit,am,40.2536111,44.6038889,2982
bambakashat,am,40.1144444,44.0122222,3089
bardzrashen,am,40.0852778,44.5786111,1273
bazum,am,40.8680556,44.4455556,1114
berdavan,am,41.2027778,45.0033333,3150
berd,am,40.8808333,45.3916667,8374
brnakot,am,39.4969444,45.9730556,1912
brun,am,39.5338889,46.3030556,1028
buzhakan,am,40.4552778,44.5205556,1678
byurakan,am,40.3413889,44.2736111,3902
byuravan,am,40.0161111,44.5186111,1228
byureghavan,am,40.3147222,44.5936111,6972
chambarak,am,40.5952778,45.3475,6153
chochkan,am,41.1861111,44.8313889,1740
dalar,am,39.9669444,44.5363889,2504
dalarik,am,40.2183333,43.8602778,3080
darakert,am,40.1058333,44.4138889,2325
darpas,am,40.8380556,44.4233333,1785
dashtavan,am,40.1016667,44.3905556,1762
ddmashen,am,40.5719444,44.8122222,2157
dilijan,am,40.7408333,44.8630556,13480
dimitrov,am,40.0080556,44.4880556,1212
doghs,am,40.2227778,44.2716667,1186
drakhtik,am,40.5688889,45.2319444,1016
dsegh,am,40.9633333,44.6516667,2484
dvin,am,40.02,44.5852778,2795
dzitankov,am,40.5155556,43.8133333,1162
dzoraghbyur,am,40.205,44.6430556,2011
dzoragyukh,am,40.1752778,45.175,3570
fantan,am,40.3941667,44.685,1019
fioletovo,am,40.7247222,44.7138889,1264
gagarin,am,40.5369444,44.8577778,1305
gandzak,am,40.3147222,45.1113889,3841
garni,am,40.1194444,44.7230556,6827
gavar,am,40.3588889,45.1266667,21681
gay,am,40.0838889,44.3055556,3309
geghamasar,am,40.3116667,45.68,1060
geghamavan,am,40.5619444,44.8827778,1597
geghanist,am,40.1497222,44.4344444,2409
getahovit,am,40.8958333,45.1313889,2005
getashen,am,40.0433333,43.9447222,2114
getazat,am,40.0380556,44.5638889,1947
ghukasavan,am,40.1261111,44.4177778,2113
gladzor,am,39.7783333,45.3477778,2080
gogaran,am,40.8955556,44.1991667,1088
goris,am,39.5077778,46.3386111,20379
gosh,am,40.7225,45.0033333,994
griboyedov,am,40.1130556,44.2716667,1879
